$MFT,C:\Users\STRATARXIS\.ATOM\COMPILE-CACHE\cson\0FE501B573683426ED24CBF6087B01B977DFF0CA.JSON,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,93
0FE501B573683426ED24CBF6087B01B977DFF0CA.JSON,C:\Users\STRATARXIS\.ATOM\COMPILE-CACHE\cson\0FE501B573683426ED24CBF6087B01B977DFF0CA.JSON,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.ATOM\COMPILE-CACHE\CSON\0FE501B573683426ED24CBF6087B01B977DFF0CA.JSON,92
_GLOBAL.JSON,C:\Users\STRATARXIS\.ATOM\COMPILE-CACHE\less\40E22529C8729B65E1D700A7AE3F73D57ED1288F\content\74A3946E628AB9F9C082CE4958F7C4816BE256E1\_GLOBAL.JSON,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.ATOM\COMPILE-CACHE\LESS\40E22529C8729B65E1D700A7AE3F73D57ED1288F\CONTENT\74A3946E628AB9F9C082CE4958F7C4816BE256E1\_GLOBAL.JSON,98
ABOUT.JSON,C:\Users\STRATARXIS\.ATOM\COMPILE-CACHE\less\40E22529C8729B65E1D700A7AE3F73D57ED1288F\content\CD9ECC7E1C898E46327DD39224106849716B694A\ABOUT.JSON,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.ATOM\COMPILE-CACHE\LESS\40E22529C8729B65E1D700A7AE3F73D57ED1288F\CONTENT\CD9ECC7E1C898E46327DD39224106849716B694A\ABOUT.JSON,97
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,23
APP.ASAR,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR,83
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,5
ARIAL.TTF,C:\Windows\Fonts\arial.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\ARIAL.TTF,141
ARIALBD.TTF,C:\Windows\Fonts\arialbd.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\ARIALBD.TTF,142
ARIALBI.TTF,C:\Windows\Fonts\arialbi.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\ARIALBI.TTF,143
ARIALI.TTF,C:\Windows\Fonts\ariali.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\ARIALI.TTF,144
ARIBLK.TTF,C:\Windows\Fonts\ariblk.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\ARIBLK.TTF,145
ATOM.EXE,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\atom.exe,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\ATOM.EXE,1
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,53
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,12
BLINK_IMAGE_RESOURCES_200_PERCENT.PAK,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\BLINK_IMAGE_RESOURCES_200_PERCENT.PAK,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\BLINK_IMAGE_RESOURCES_200_PERCENT.PAK,68
BLOB,C:\Users\STRATARXIS\.ATOM\BLOB-STORE\BLOB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.ATOM\BLOB-STORE\BLOB,89
BRANCH-MENU-VIEW.JSON,C:\Users\STRATARXIS\.ATOM\COMPILE-CACHE\less\40E22529C8729B65E1D700A7AE3F73D57ED1288F\content\74A3946E628AB9F9C082CE4958F7C4816BE256E1\BRANCH-MENU-VIEW.JSON,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.ATOM\COMPILE-CACHE\LESS\40E22529C8729B65E1D700A7AE3F73D57ED1288F\CONTENT\74A3946E628AB9F9C082CE4958F7C4816BE256E1\BRANCH-MENU-VIEW.JSON,99
